Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Afghanistan,AFG,1956,21.65766
Afghanistan,AFG,1957,28.71579
Afghanistan,AFG,1958,16.64957
Afghanistan,AFG,1959,20.0166
Afghanistan,AFG,1960,12.42149
Afghanistan,AFG,1961,9.72874
Afghanistan,AFG,1962,10.77439
Afghanistan,AFG,1963,9.95858
Afghanistan,AFG,1964,8.8625
Afghanistan,AFG,1965,6.96358
Afghanistan,AFG,1966,5.96429
Afghanistan,AFG,1967,3.96855
Afghanistan,AFG,1968,6.26942
Afghanistan,AFG,1969,5.81196
Afghanistan,AFG,1970,4.83685
Afghanistan,AFG,1971,5.45571
Afghanistan,AFG,1972,7.80723
Afghanistan,AFG,1973,9.174
Afghanistan,AFG,1974,10.69562
Afghanistan,AFG,1975,9.50117
Afghanistan,AFG,1976,11.6737
Afghanistan,AFG,1977,10.62746
Afghanistan,AFG,1978,8.15624
Afghanistan,AFG,1979,11.76371
Afghanistan,AFG,1980,18.4109
Afghanistan,AFG,1981,20.46122
Afghanistan,AFG,1982,15.67759
Afghanistan,AFG,1983,18.26656
Afghanistan,AFG,1984,24.12348
Afghanistan,AFG,1985,22.65282
Afghanistan,AFG,1986,23.1738
Afghanistan,AFG,1987,28.44586
Afghanistan,AFG,1988,23.51688
Afghanistan,AFG,1989,9.07692
Afghanistan,AFG,2001,3.77874
Afghanistan,AFG,2002,2.34351
Afghanistan,AFG,2003,5.00757
Afghanistan,AFG,2004,5.77055
Afghanistan,AFG,2005,6.11945
Afghanistan,AFG,2006,5.89436
Afghanistan,AFG,2007,4.61202
Afghanistan,AFG,2008,5.11368
Afghanistan,AFG,2009,3.93394
Afghanistan,AFG,2010,3.47335
Afghanistan,AFG,2011,2.88153
Afghanistan,AFG,2012,2.68593
Afghanistan,AFG,2013,3.31999
Afghanistan,AFG,2014,3.66463
Africa,,1960,17.78766
Africa,,1961,17.61732
Africa,,1962,17.7158
Africa,,1963,17.07451
Africa,,1964,20.14909
Africa,,1965,19.23661
Africa,,1966,19.27197
Africa,,1967,19.32074
Africa,,1968,20.05962
Africa,,1969,20.23349
Africa,,1970,19.86354
Africa,,1971,18.14609
Africa,,1972,18.32884
Africa,,1973,21.16691
Africa,,1974,28.73655
Africa,,1975,23.68571
Africa,,1976,24.78873
Africa,,1977,26.34517
Africa,,1978,24.33679
Africa,,1979,28.33762
Africa,,1980,29.81826
Africa,,1981,26.17978
Africa,,1982,23.60128
Africa,,1983,22.5345
Africa,,1984,24.22225
Africa,,1985,25.16782
Africa,,1986,18.80522
Africa,,1987,17.70873
Africa,,1988,17.8793
